treatment,day0,day7
CTRL1-0-1,0.672,3.013
CTRL2-0-1,1.289,3.797
CTRL3-0-1,1.073,5.385
CTRL4-0-1,1.846,6.411
CTRL5-0-1,1.136,4.002
CTRL6-0-1,0.972,3.556
HQ1-14-1,1.384,2.568
HQ2-14-1,1.595,1.805
HQ3-14-1,1.357,0.361
HQ4-14-1,1.408,3.529
HQ5-14-1,1.577,2.861
HQ6-14-1,1.814,2.659
RE1-14-1,2.184,3.791
RE2-14-1,1.491,3.785
RE3-14-1,1.526,3.61
RE4-14-1,2.148,5.275
RE5-14-1,1.635,4.851
RE6-14-1,1.936,4.192
CA1-3-1,1.352,2.442
CA2-3-1,1.349,2.585
CA3-3-1,1.148,1.612
CA4-3-1,1.227,1.942
CA5-3-1,1.047,3.561
CA6-3-1,1.828,2.222
CTRL1-0-2,0.586,2.93
CTRL2-0-2,0.748,3.553
CTRL3-0-2,0.556,2.443
CTRL4-0-2,0.616,3.58
CTRL5-0-2,0.613,1.049
CTRL6-0-2,0.454,2.12
HQ1-14-2,1.043,2.583
HQ2-14-2,0.918,2.437
HQ3-14-2,0.758,1.808
HQ4-14-2,0.927,2.265
HQ5-14-2,1.048,2.726
RE1-14-2,1.388,3.556
RE2-14-2,1.512,2.394
RE3-14-2,1.116,2.982
RE4-14-2,0.886,2.058
RE5-14-2,1.01,2.327
RE6-14-2,0.834,2.979
CA1-3-2,1.022,1.9
CA2-3-2,0.887,1.98
CA3-3-2,0.898,2.995
CA4-3-2,0.844,1.863
CA5-3-2,1.363,2.389
CA6-3-2,1.084,2.488
CTRL1-0-3,0.906,5.53
CTRL2-0-3,0.592,5.222
CTRL3-0-3,0.464,3.652
CTRL4-0-3,0.876,4.386
HQ1-14-3,0.349,0.479
HQ2-14-3,0.587,1.45
HQ3-14-3,0.426,1.162
HQ4-14-3,0.458,1.979
RE1-14-3,0.808,1.678
RE2-14-3,0.761,3.079
RE3-14-3,0.368,1.037
RE4-14-3,0.679,1.261
CA1-3-3,0.376,1.477
CA2-3-3,0.48,0.985
CA3-3-3,0.977,2.499
CA4-3-3,0.975,3.28
CTRL1-0-4,0.521,2.599
CTRL2-0-4,1.003,3.979
CTRL3-0-4,0.669,2.563
CTRL4-0-4,0.413,2.037
HQ1-14-4,1.006,2.446
HQ2-14-4,0.712,0.732
HQ3-14-4,0.497,1.598
HQ4-14-4,0.668,1.652
RE1-14-4,0.632,1.131
RE2-14-4,0.747,1.931
RE3-14-4,0.627,2.087
RE4-14-4,0.613,2.324
CA1-3-4,0.439,1.553
CA2-3-4,0.989,3.356
CA3-3-4,0.168,0.737
CA4-3-4,0.718,2.354
