Label,CYS,GSH
H-35-4,13.8,378.3
H-35-2,31.3,595.8
H-10-5,7.4,266.5
H-10-4,14.8,362.3
H-10-3,26.8,541.4
H-10-2,28.6,724.5
R-10-5,14.9,358.1
R-10-4,11.7,301.9
R-10-3,9.2,294.3
R-10-2,12.9,350.6
R-10-1,12.1,275.3
R-2-5,7.9,236.3
R-2-4,11.3,361.6
R-2-3,10.5,306.4
R-2-2,10.4,330.9
R-2-1,9.5,299.7
C-10-5,18.5,393.9
C-10-4,19,461.4
C-10-3,9,170.7
C-10-2,21,493.5
C-10-1,25.5,546.3
C-2-5,10.1,382.4
C-2-4,9.4,389.3
C-2-3,9,374
C-2-2,8,371.5
C-2-1,6.9,342.1
CTRL-0-5,7.9,344.4
CTRL-0-4,3.7,192.6
CTRL-0-3,5.4,391.4
CTRL-0-2,5.7,338.3
CTRL-0-1,3.9,455.2
