substance,concentration,repetition,time,Probe,cys,gsh,replicate
C,2,2,24,DS_Sample_9,5.95797,263.71538,5
C,2,2,24,DS_Sample_8,5.89064,208.71887,4
CTRL,0,2,7,DS_Sample_73,6.66837,220.19536,5
CTRL,0,2,7,DS_Sample_72,5.62328,131.38694,4
CTRL,0,2,7,DS_Sample_71,5.27419,142.79655,3
CTRL,0,2,7,DS_Sample_70,4.61333,176.67873,2
C,2,2,24,DS_Sample_7,7.16476,232.25225,3
CTRL,0,2,7,DS_Sample_69,7.05657,228.2835,1
H,10,2,7,DS_Sample_68,6.48928,205.61404,5
H,10,2,7,DS_Sample_67,7.34566,150.15837,4
H,10,2,7,DS_Sample_66,9.27447,152.34325,3
H,10,2,7,DS_Sample_65,8.46874,231.34287,2
H,10,2,7,DS_Sample_64,10.00405,206.03249,1
H,2,2,7,DS_Sample_63,8.64628,250.77974,5
H,2,2,7,DS_Sample_62,7.76526,245.96886,4
H,2,2,7,DS_Sample_61,15.02685,282.32886,3
H,2,2,7,DS_Sample_60,9.83731,262.98821,2
C,2,2,24,DS_Sample_6,7.08643,289.7237,2
H,2,2,7,DS_Sample_59,7.38552,211.8177,1
R,10,2,7,DS_Sample_58,6.84919,196.18826,5
R,10,2,7,DS_Sample_57,8.9287,196.01828,4
R,10,2,7,DS_Sample_56,7.25523,177.72647,3
R,10,2,7,DS_Sample_55,6.73679,171.82718,2
R,10,2,7,DS_Sample_54,8.30257,209.71069,1
R,2,2,7,DS_Sample_53,7.69353,137.37026,5
R,2,2,7,DS_Sample_52,7.81162,156.63513,4
R,2,2,7,DS_Sample_51,8.76974,239.45653,3
R,2,2,7,DS_Sample_50,6.50311,167.02927,2
C,2,2,24,DS_Sample_5,6.14678,209.9604,1
R,2,2,7,DS_Sample_49,6.55515,197.49356,1
C,10,2,7,DS_Sample_48,11.01602,248.77482,5
C,10,2,7,DS_Sample_47,9.69435,219.24397,4
C,10,2,7,DS_Sample_46,13.36584,235.63488,3
C,10,2,7,DS_Sample_45,5.28033,186.3742,2
C,10,2,7,DS_Sample_44,19.86719,339.28537,1
C,2,2,7,DS_Sample_43,6.50714,179.76182,5
C,2,2,7,DS_Sample_42,,153.83604,4
C,2,2,7,DS_Sample_41,5.85185,175.29893,3
C,2,2,7,DS_Sample_40,8.57971,182.54722,2
C,2,2,7,DS_Sample_39,7.06746,171.13018,1
CTRL,0,2,24,DS_Sample_38,9.64636,262.90134,5
CTRL,0,2,24,DS_Sample_37,11.61498,244.86813,4
CTRL,0,2,24,DS_Sample_36,5.58669,218.72062,3
CTRL,0,2,24,DS_Sample_35,10.55491,245.48035,2
H,10,2,24,DS_Sample_33,17.38078,381.79875,5
H,10,2,24,DS_Sample_32,23.381,349.01199,4
H,10,2,24,DS_Sample_31,24.64756,421.4016,3
H,2,2,24,DS_Sample_28,10.44018,242.18185,5
H,2,2,24,DS_Sample_27,11.20158,257.38787,4
H,2,2,24,DS_Sample_26,9.52796,225.69514,3
H,2,2,24,DS_Sample_25,11.23472,267.84971,2
H,2,2,24,DS_Sample_24,13.19103,291.24988,1
R,10,2,24,DS_Sample_23,8.2563,268.7889,5
R,10,2,24,DS_Sample_22,7.53596,284.23602,4
R,10,2,24,DS_Sample_21,11.9204,339.98589,3
R,10,2,24,DS_Sample_20,13.4241,386.03316,2
R,10,2,24,DS_Sample_19,13.73635,339.76029,1
R,2,2,24,DS_Sample_17,11.22814,278.64815,4
R,2,2,24,DS_Sample_16,22.66318,519.00401,3
R,2,2,24,DS_Sample_15,8.80205,236.51758,2
R,2,2,24,DS_Sample_14,7.30284,225.71855,1
C,10,2,24,DS_Sample_13,10.6889,282.15623,5
C,10,2,24,DS_Sample_12,23.9817,393.58484,4
C,10,2,24,DS_Sample_11,25.72965,464.17506,3
C,10,2,24,DS_Sample_10,19.01914,358.61484,2
H,35,1,24,H-35-4,13.8,378.3,
H,35,1,24,H-35-2,31.3,595.8,
H,10,1,24,H-10-5,7.4,266.5,
H,10,1,24,H-10-4,14.8,362.3,
H,10,1,24,H-10-3,26.8,541.4,
H,10,1,24,H-10-2,28.6,724.5,
R,10,1,24,R-10-5,14.9,358.1,
R,10,1,24,R-10-4,11.7,301.9,
R,10,1,24,R-10-3,9.2,294.3,
R,10,1,24,R-10-2,12.9,350.6,
R,10,1,24,R-10-1,12.1,275.3,
R,2,1,24,R-2-5,7.9,236.3,
R,2,1,24,R-2-4,11.3,361.6,
R,2,1,24,R-2-3,10.5,306.4,
R,2,1,24,R-2-2,10.4,330.9,
R,2,1,24,R-2-1,9.5,299.7,
C,10,1,24,C-10-5,18.5,393.9,
C,10,1,24,C-10-4,19,461.4,
C,10,1,24,C-10-3,9,170.7,
C,10,1,24,C-10-2,21,493.5,
C,10,1,24,C-10-1,25.5,546.3,
C,2,1,24,C-2-5,10.1,382.4,
C,2,1,24,C-2-4,9.4,389.3,
C,2,1,24,C-2-3,9,374,
C,2,1,24,C-2-2,8,371.5,
C,2,1,24,C-2-1,6.9,342.1,
CTRL,0,1,24,CTRL-0-5,7.9,344.4,
CTRL,0,1,24,CTRL-0-4,3.7,192.6,
CTRL,0,1,24,CTRL-0-3,5.4,391.4,
CTRL,0,1,24,CTRL-0-2,5.7,338.3,
CTRL,0,1,24,CTRL-0-1,3.9,455.2,
