Substance,Konstrukt,Batch,Konzentration,Replikat,Area,Mean,StdDev
,roGFPxP19,1,0,1,2178.461,0.441,0.142
,roGFPxP19,1,0,2,1840.78,0.398,0.093
,roGFPxP19,1,0,3,2485.795,0.407,0.086
,roGFPxP19,1,0,4,2046.746,0.353,0.082
,roGFPxP19,1,0,5,2486.038,0.486,0.193
H2O,roGFPxP19,1,0,1,1699.219,0.517,0.125
H2O,roGFPxP19,1,0,2,2594.993,0.474,0.157
H2O,roGFPxP19,1,0,3,2658.51,0.418,0.138
H2O,roGFPxP19,1,0,4,1778.07,0.536,0.316
H2O,roGFPxP19,1,0,5,5361.732,0.325,0.099
_H2O2,roGFPxP19,1,10,1,3868.663,0.672,0.213
_H2O2,roGFPxP19,1,10,2,4336.427,0.776,0.465
_H2O2,roGFPxP19,1,10,3,3705.752,0.625,0.181
_H2O2,roGFPxP19,1,10,4,2700.267,0.944,0.538
_H2O2,roGFPxP19,1,10,5,2804.88,0.307,0.097
DTT,roGFPxP19,1,2,1,7616.844,0.132,0.042
DTT,roGFPxP19,1,2,2,12001.448,0.127,0.03
DTT,roGFPxP19,1,2,3,2643.183,0.124,0.032
DTT,roGFPxP19,1,2,4,7005.763,0.136,0.037
DTT,roGFPxP19,1,2,5,3921.78,0.116,0.02
R,roGFPxP19,1,50,1,2330.153,0.567,0.195
R,roGFPxP19,1,50,2,760.551,0.349,0.105
R,roGFPxP19,1,50,3,2790.71,0.451,0.06
R,roGFPxP19,1,50,4,2216.472,0.638,0.394
R,roGFPxP19,1,50,5,2578.731,0.421,0.218
H,roGFPxP19,1,50,1,3869.23,0.545,0.242
H,roGFPxP19,1,50,2,4017.324,1.384,1.198
H,roGFPxP19,1,50,3,1633.407,0.408,0.121
H,roGFPxP19,1,50,4,3164.144,0.466,0.19
H,roGFPxP19,1,50,5,3431.831,0.316,0.114
C,roGFPxP19,1,20,1,5564.579,0.415,0.088
C,roGFPxP19,1,20,2,7202.035,0.285,0.066
C,roGFPxP19,1,20,3,7342.194,0.278,0.088
C,roGFPxP19,1,20,4,3878.785,0.397,0.095
C,roGFPxP19,1,20,5,5651.379,0.218,0.077
C,roGFPxP19,1,50,1,4042.668,0.568,0.29
C,roGFPxP19,1,50,2,104.156,0.411,0.098
C,roGFPxP19,1,50,3,4644.197,0.595,0.522
C,roGFPxP19,1,50,4,3517.023,0.409,0.116
C,roGFPxP19,1,50,5,2855.151,0.466,0.109
H,roGFPxP19,1,20,1,4993.518,0.363,0.083
H,roGFPxP19,1,20,2,5179.558,0.324,0.079
H,roGFPxP19,1,20,3,5394.512,0.319,0.068
H,roGFPxP19,1,20,4,6294.745,0.295,0.071
H,roGFPxP19,1,20,5,6099.31,0.317,0.104
R,roGFPxP19,1,20,1,4671.329,0.291,0.102
R,roGFPxP19,1,20,2,7043.197,0.324,0.102
R,roGFPxP19,1,20,3,3866.02,0.342,0.086
R,roGFPxP19,1,20,4,3543.912,0.283,0.068
R,roGFPxP19,1,20,5,4714.903,0.271,0.072
H2O2,roGFPxP19,1,10,1,1407.732,0.521,0.175
H2O2,roGFPxP19,1,10,2,4113.857,0.546,0.149
H2O2,roGFPxP19,1,10,3,1855.864,0.676,0.322
H2O2,roGFPxP19,1,10,4,1777.707,0.661,0.184
H2O2,roGFPxP19,1,10,5,6205.815,0.607,0.132
