substance,substance_conc,replicate,l0,l7,l14,,,comment,,,,,,
CA,100,1,1.834,1.85,NA,,,,,,,,,
CA,100,1,0.649,0.676,NA,,,,,,,,,
CA,100,1,0.647,0.649,NA,,,,,,,,,
CA,100,1,0.785,0.809,NA,,,,,,,,,
CA,100,1,2.074,1.936,NA,,,,,,,,,
RE,500,1,0.272,0.341,NA,,,,,,,,,
RE,500,1,0.501,0.706,NA,,,,,,,,,
RE,500,1,0.599,0.62,NA,,,,,,,,,
RE,500,1,0.461,0.571,NA,,,,,,,,,
RE,500,1,1.964,3.199,NA,,,,,,,,,
HQ,250,1,2.286,2.752,NA,,,,,,,,,
HQ,250,1,0.67,0.709,NA,,,,,,,,,
HQ,250,1,0.28,0.313,NA,,,,,,,,, 
HQ,250,1,0.633,0.523,NA,,,,,,,,,
HQ,250,1,0.565,0.602,NA,,,,,,,,,
CA,250,1,2.711,2.787,NA,,,,,,,,,
CA,250,1,2.41,2.37,NA,,,,,,,,,
CA,250,1,2.792,2.751,NA,,,,,,,,,
CA,250,1,0.427,0.337,NA,,,,,,,,,
CA,250,1,0.438,0.415,NA,,,,,,,,,
RE,250,1,0.504,0.417,NA,,,,,,,,,
RE,250,1,1.107,1.194,NA,,,,,,,,,
RE,250,1,3.233,5.043,NA,,,,,,,,,
RE,250,1,1.384,0.71,NA,,,,,,,,,
RE,250,1,0.694,0.857,NA,,,,,,,,,
HQ,100,1,2.75,3.904,NA,,,,,,,,,
HQ,100,1,1.54,3.741,NA,,,,,,,,,
HQ,100,1,1.211,1.459,NA,,,,,,,,,
HQ,100,1,0.32,0.27,NA,,,,,,,,,
HQ,100,1,1.805,2.579,NA,,,,,,,,,
CA,500,1,1.682,NA,NA,,,,,,,,,
CA,500,1,1.348,1.474,NA,,,,,,,,,
CA,500,1,0.614,0.393,NA,,,,,,,,,
CA,500,1,0.689,0.645,NA,,,,,,,,,
CA,500,1,0.418,0.411,NA,,,,,,,,,
RE,750,1,0.47,0.375,NA,,,,,,,,,
RE,750,1,0.45,0.334,NA,,,,,,,,,
RE,750,1,0.696,0.685,NA,,,,,,,,,
RE,750,1,0.59,0.527,NA,,,,,,,,,
RE,750,1,0.589,0.585,NA,,,,,,,,,
HQ,750,1,0.73,0.632,NA,,,,,,,,,
HQ,750,1,0.771,0.528,NA,,,,,,,,,
HQ,750,1,2.415,2.417,NA,,,,,,,,,
HQ,750,1,2.229,2.092,NA,,,,,,,,,
HQ,750,1,0.572,0.424,NA,,,,,,,,,
CTRL,0,1,0.602,0.613,NA,,,CTRL1,,,,,,
CTRL,0,1,0.598,0.485,NA,,,,,,,,,
CTRL,0,1,0.601,0.593,NA,,,,,,,,,
CTRL,0,1,0.581,0.593,NA,,,,,,,,,
CTRL,0,1,1.14,3.029,NA,,,,,,,,,
CTRL,0,1,0.551,0.629,NA,,,,,,,,,
CTRL,0,1,0.659,0.607,NA,,,CTRL2,,,,,,
CTRL,0,1,0.517,0.467,NA,,,,,,,,,
CTRL,0,1,0.717,0.637,NA,,,,,,,,,
CTRL,0,1,0.288,0.351,NA,,,,,,,,,
CTRL,0,1,1.916,2.886,NA,,,,,,,,,
CTRL,0,1,0.715,0.652,NA,,,,,,,,,
CA,100,2,2.856,2.666,2.419,,,,,,,,,
CA,100,2,0.685,0.758,0.745,,,,,,,,,
CA,100,2,0.701,0.664,0.694,,,,,,,,,
CA,100,2,0.879,0.808,0.762,,,,,,,,,
RE,500,2,2.919,4.566,7.726,,,,,,,,,
RE,500,2,3.181,4.265,5.704,,,,,,,,,
RE,500,2,1.512,2.493,3.257,,,,,,,,,
RE,500,2,0.663,0.664,0.616,,,,,,,,,
HQ,250,2,0.67,0.701,1.407,,,,,,,,,
HQ,250,2,0.553,0.723,0.706,,,,,,,,,
HQ,250,2,0.718,0.742,1.179,,,,,,,,,
HQ,250,2,0.6,0.618,0.873,,,,,,,,,
CA,250,2,2.657,2.797,2.778,,,,,,,,,
CA,250,2,2.79,3.014,3.312,,,,,,,,,
CA,250,2,0.603,0.632,0.652,,,,,,,,,
CA,250,2,0.543,0.624,0.739,,,,,,,,,
RE,250,2,0.728,0.747,0.7,,,,,,,,,
RE,250,2,3.645,5.992,10.039,,,,,,,,,
RE,250,2,3.566,6.049,9.614,,,,,,,,,
RE,250,2,0.767,0.727,0.702,,,,,,,,,
HQ,100,2,0.919,0.847,0.834,,,,,,,,,
HQ,100,2,0.583,0.547,0.751,,,,,,,,,
HQ,100,2,0.815,0.747,0.764,,,,,,,,,
HQ,100,2,0.472,0.408,0.598,,,,,,,,,
CA,500,2,0.538,0.641,0.521,,,,,,,,,
CA,500,2,0.657,0.722,0.684,,,,,,,,,
